id,id_bacteria,categoria,caracteristica,valor,peso,tipo_valor,fonte
98,23,microscopia,morfologia_celular,cocobacilo,0.9,texto,ASM
99,24,colonia,cor_colonia,vermelha,0.8,texto,ASM
100,24,bioquimica,dnase,positiva,0.7,binario,ASM
101,24,microscopia,gram,negativa,1.0,texto,ASM
102,24,microscopia,morfologia_celular,bacilo,0.9,texto,ASM
103,25,bioquimica,oxidase,negativa,1.0,binario,ASM
104,25,bioquimica,fermentacao,nao_fermentador,1.0,texto,ASM
105,25,microscopia,gram,negativa,1.0,texto,ASM
106,25,microscopia,morfologia_celular,cocobacilo,0.9,texto,ASM
107,26,crescimento,anaerobio,sim,1.0,binario,ASM
108,26,colonia,hemolise,dupla_zona,1.0,texto,ASM
109,26,microscopia,gram,positiva,1.0,texto,ASM
110,26,microscopia,morfologia_celular,bacilo,0.9,texto,ASM
111,27,coloracao,acido_alcool_resistente,sim,1.0,binario,ASM
112,27,crescimento,velocidade,lenta,0.9,texto,ASM
113,27,microscopia,morfologia_celular,bacilo,0.8,texto,ASM
114,28,coloracao,acido_alcool_resistente,parcial,1.0,texto,ASM
115,28,microscopia,morfologia_celular,bacilo_filamentoso,1.0,texto,ASM
116,29,bioquimica,catalase,negativa,0.8,binario,ASM
117,29,microscopia,gram,positiva,1.0,texto,ASM
118,29,microscopia,morfologia_celular,bacilo,0.8,texto,ASM
119,30,colonia,cor_colonia,amarela,0.9,texto,LibreTexts
120,30,bioquimica,catalase,positiva,0.9,binario,ASM
121,30,microscopia,gram,positiva,1.0,texto,ASM
122,30,microscopia,morfologia_celular,coco,0.8,texto,ASM
123,30,microscopia,arranjo,tetrades,0.9,texto,ASM
